id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
78025846,6038023233498,Khăn tắm Bamboo Life BL058 hàng chính hãng được làm từ sợi tre thiên nhiên mềm mại kháng khuẩn siêu thấm hút an toàn cho daBAMBOO LIFE – ĐỒ DÙNG CHO BÉ TỪ SỢI TRE THIÊN NHIÊN ✓ Sản phẩm chính hãng ...,139000,139000,,,,445.0,,available,,1000,1000,Khăn tắm Bamboo Life BL058 hàng chính hãng được làm từ sợi tre thiên nhiên mềm mại kháng khuẩn siêu thấm hút an toàn cho da,4430657.0,Bamboo Life
163165150,8149222358342,"Cấu tạo 2 lớp thân đáy liền bắt nhiệt nhanh, tỏa nhiệt đềuBộ inox Elmich Tri-max baby EL3794 với phía ngoài cùng của chảo, quánh Trimax Baby là lớp inox 430 dày 0,5mm, đánh bóng gương, thuận tiện cho...",749000,839000,,90000.0,11.0,5.0,,available,,1000,1000,Bộ inox Elmich Tri-max baby EL3794 size 14cm,31627.0,Elmich
249253408,2169781477766,"Bộ nồi 5 đáy Inox 304 Elmich Berlin EL 3980 được làm từ chất liệu inox 304, an toàn cho sức khỏe, không giải phóng chất độc hạiCông nghệ đáy nồi 5 lớp tối ưu giúp truyền nhiệt nhanh, giữ nhi...",1254000,1685000,,431000.0,26.0,,,available,,1000,1000,"Bộ nồi 5 đáy Inox 304 Elmich Berlin EL 3980 Size 16, 18, 22cm",31627.0,Elmich
198458808,9323283378429,"Bộ nồi Inox liền khối Elmich Hera EL-8195 size 18, 22 chảo 26cmTay cầm, quai được làm từ inox 201 chắc chắn và an toàn cho người sử dụng. Vung phẳng giúp tránh dồn hơi nước ra mép, lỗ thoát hơi to c...",2085000,3350000,,1265000.0,38.0,,,available,,1000,1000,"Bộ nồi Inox liền khối Elmich Hera EL-8195 size 18, 22 chảo 26cm",31627.0,Elmich
198458847,7605103945498,"Bộ nồi Inox liền khối Elmich Milano EL-8090 size 16, 20, 22cmVung có khe thoát nước kết hợp với miệng rót ở thân nồi giúp việc chắt, gạn nước trở nên dễ dàng hơn bao giờ hết. Tay cầm, quai, cán bằng...",2457000,3950000,,1493000.0,38.0,1.0,,available,,1000,1000,"Bộ nồi Inox liền khối Elmich Milano EL-8090 size 16, 20, 22cm",31627.0,Elmich
7351379,4650406044755,NỒI ÁP SUẤT 3 ĐÁY INOX 304 ELMICH 22CM 5.5L EL3371 DÙNG BẾP TỪThương hiệu Elmich Xuất xứ thương hiệu Cộng Hoà SécMã sản phẩm  EL3371Chất liệu Inox 304Kiểu dáng 1 Tay Cầm bằng nhựaMàu sắc Sáng BạcKích...,1540000,1790000,,250000.0,14.0,139.0,,available,,1000,1000,Nồi áp suất 3 đáy Inox 304 Elmich 22cm 5.5L EL3371 dùng bếp từ - Hàng chính hãng,31627.0,Elmich
94724913,1173549953226,"Ron Dán Che Khe Cửa ,Chân Cửa,Khung Cửa CTFAST Chống Bụi, Ngăn Côn Trùng, Chống Ồn, Chống Thoát Nhiệt Điều Hòa, Chống Va Đập Cửa là mẫu ron cải tiến mới nhất 2021 - dòng sản phẩm tiện ích giúp gia đìn...",49000,68000,,19000.0,28.0,327.0,,available,,1000,1000,"Ron Dán Che Khe Cửa ,Chân Cửa,Khung Cửa CTFAST Chống Bụi, Ngăn Côn Trùng, Chống Ồn, Chống Thoát Nhiệt Điều Hòa, Chống Va Đập Cửa - Mẫu Cải Tiến 2021 ( Hàng Chính Hãng )",3985581.0,CTFAST
119195755,1507098913214,"Bộ Cây Lau Nhà 360 Độ Đa Năng, Thùng Vắt 2 Ngăn Thông Minh Parroti Pro Max - PX01Bộ lau nhà thông minh Parroti Pro Max - PX01 với khả năng lau sạch sàn nhà một cách nhanh chóng và nhẹ nhàng, phù hợp...",539000,849000,,310000.0,37.0,669.0,,available,,1000,1000,"Bộ lau nhà tự vắt thông minh, chổi lau nhà 360 độ, lau sạch khô nhanh - Parroti ProMax PX01",746615.0,Parroti
241804451,6246059058386," Móc INOX 304 Treo Đồ nặng, treo thớt, nồi niêu INOX 304 [CHỐNG NƯỚC, CHỐNG RỈ] Dán Mọi Bề Mặt(Hoàn tiền 10 lần nếu giao hàng không đúng mô tả và hỉnh ảnh và video) Giới Thiệu Sản Phẩm:  Móc Inox 304...",15000,15000,,,,335.0,,available,,1000,1000," Móc INOX 304 Treo Đồ nặng, treo thớt, nồi niêu INOX 304 [CHỐNG NƯỚC, CHỐNG RỈ] Dán Mọi Bề Mặt",5063093.0,Jodily StarHome
177610565,4234116396241,"MÔ TẢ SẢN PHẨM- Đèn pin siêu sáng Ultrafire XML T6 là sự kết hợp tuyệt vời giữa công suất chiếu sáng cao, trở thành một công cụ đáng tin cậy không thể thiếu trong các tình huống khẩn cấp, tìm kiếm, ...",129000,258000,,129000.0,50.0,287.0,,available,,1000,1000,Đèn Pin Siêu Sáng US ARMY Mã XML-T6 Cao Cấp Vỏ Hợp Kim Chống Nước Sử Dụng Pin Có Thể Sạc Lại Tặng Hộp Full Box- HÀNG CHÍNH HÃNG,5003355.0,US ARMY
182971940,7966240754631,Đặc điểm nổi bậtBình giữ nhiệt LocknLock có 2 nắp thay thế New Clip Tumbler 540ml LHC4279 có cấu trúc tường đôi cho hiệu quả cách nhiệt và giữ mát xuất sắc cũng như ngăn ngừa được việc đọng nước ngo...,237000,520000,,283000.0,54.0,317.0,,available,,1000,1000,Bình giữ nhiệt LocknLock có 2 nắp thay thế New Clip Tumbler 540ml LHC4279,48077.0,LocknLock
